material_id,formula,band_gap,volume,density,crystal_system,Lattice_a,Lattice_b,Lattice_c,Alpha,Beta,Gamma
mp-1245824,AlIn2N3,0.8865,167.7860575,5.911092658,ortho,5.939828968,5.925745938,5.500038,90,90,119.9215943
mp-1228917,AlInGaSb3,0.0298,192.7859065,4.968221836,ortho,10.01622422,10.01622422,10.01622422,154.0431389,153.9634379,37.09486625
mp-1245856,AlInN2,1.6253,104.4779303,5.397905914,tet,5.725374997,4.745789412,9.277641904,90.00000065,144.1175575,114.4848328
mp-1246285,AlInN2,1.2564,849.9450816,5.308220968,ortho,5.500767,11.027448,14.011757,90,90,90
mp-1247201,AlInN2,1.5194,208.9503727,5.398047686,ortho,5.763079,6.700413,5.411118,90,90,90
mp-1228866,AlInSb2,0.2376,132.8706994,4.815494693,trig,7.855672973,7.855672973,7.855673835,33.68684699,33.68684699,33.68684398
mp-1228890,AlInSb2,0.3185,128.9162022,4.963209721,tet,4.50616554,4.50616554,6.34882299,90,90,90
mp-661,AlN,4.0536,42.52728308,3.200889718,hex_,3.128588,3.128588272,5.016955,90,90,119.9999971
mp-1330,AlN,4.4245,16.84281216,4.041045575,cubic,2.877242948,2.877242948,2.877242948,60,60,60
mp-1700,AlN,3.3036,20.83454669,3.266813172,cubic,3.088632926,3.088633157,3.08863425,59.9999989,59.99999642,59.99998772
mp-13178,AlN,3.2687,39.78349858,3.421648371,hex_,3.312115484,3.312115484,4.187563,90,90,119.9999897
mp-1550,AlP,1.6293,40.98345792,2.348192314,cubic,3.869972332,3.869971938,3.86997254,60.0000034,60.00000677,60.00000114
mp-8880,AlP,1.96,81.97411556,2.347986074,hex_,3.86348275,3.863482828,6.34144315,90,90,119.9999907
mp-997569,AlP,2.1634,728.5351992,0.528386499,tet,7.7485,7.7485,12.134315,90,90,90
mp-2624,AlSb,1.2262,59.15180866,4.175546642,cubic,4.373485081,4.373484627,4.37348589,60.00000565,60.00000908,59.9999983
mp-15621,AlSb,0.0221,441.168687,4.47885162,cubic,7.612633,7.612633,7.612633,90,90,90
mp-1018100,AlSb,0.9121,118.230509,4.178128607,hex_,4.36182056,4.361817598,7.1756965,90.00003742,89.99997867,120.0000982
mp-637209,AsN9,3.1608,591.8871353,2.255418489,mono,11.843188,7.063556,7.407740123,72.77070703,90,90
mp-1228799,AsP,0.4582,92.26506394,3.811700297,mono,3.513324,4.651367065,5.917247018,92.18703437,72.73021543,90
mp-1224789,Ga2AsP,0.7805,85.84481216,4.745760478,trig,6.806626416,6.806626416,6.806626096,33.56092459,33.56092459,33.56092772
mp-2534,GaAs,0.1839,47.53185939,5.053200369,cubic,4.065993051,4.065992916,4.065993,59.99999118,59.99999228,59.99999375
mp-8883,GaAs,0.1925,90.96756897,5.280739325,hex_,3.99359019,3.993590696,6.58610919,90,90,120.0000042
mp-1244899,GaAs,0.0077,2410.385703,4.982356331,tri,12.96300988,12.84217365,14.57984225,94.31759967,92.61643445,85.34912946
mp-804,GaN,1.7376,45.72832359,6.080976829,hex_,3.18892989,3.188930917,5.19235725,90,90,119.9999998
mp-830,GaN,1.5704,22.88774647,6.074710687,cubic,3.186930291,3.186931861,3.18693158,60.00000291,59.99998662,59.99999527
mp-2853,GaN,0.4207,19.47004855,7.141042185,cubic,3.019678296,3.019678296,3.019678296,60,60,60
mp-1007824,GaN,1.3711,75.36117197,3.689869317,hex_,3.204432919,3.204432919,8.474509,90,90,119.9999777
mp-1181864,GaN,0.8257,92.50899265,6.011802057,hex_,3.211538,3.211537573,10.35684,90,90,120.0000044
mp-1244884,GaN,0.1606,1563.666696,4.445846371,tri,11.22754694,11.45982188,12.15697066,88.61837338,90.03154698,89.48532843
mp-1244886,GaN,0.0487,1531.441383,4.539397969,tri,11.57365976,11.73537533,11.34170599,86.68693531,86.70375329,85.74618056
mp-1244896,GaN,0.0327,2300.817761,3.021456989,tri,12.5665542,12.9448142,14.14561661,89.881399,89.15429422,89.76988022
